umbrella_id	xtrop	human	mouse	rat	zebrafish	chicken	drosphila	worm
478821	493420	5604	26395	170851	406728	415549		
478831	100487255	3229	15422	315337	58059	771955		
478831	100487255	3229	15422	315337	58063	771955		
478840	549375	84955	67429	362906	553654	428379		
478849	550111	90	11477	79558	30615	395246		
478858	448649	4613	18109	298894	252851	421948		
478868	100038191	551	11998	24221	352922	396101		
478874	100487047	27302	12154	500245	562533	395177		
478880	100135012	720	625018	24233		418892		
478887	100485262	3206	15395	100911668	30391	776143		
478887	100485262	3206	15395	103692129	30391	776143		
478897	734093	90627	243362	498130	100005208	418908		
478897	734093	90627	243362	498130	555484	418908		
478906	100101762	133308	97086	679958		428776		
478911	100489063	28973	66973	294230	550455		35299	
478921	734087	2294	15227	687536	566407	395624		
478929	100216241	7093	24087	365460		107053676		
478938	100489869	51289	239336	294807	100008558	431664		
478944	448028	4953	18263	24609	114426	421937	35766	
478952	100170183	185	11607			396065		
478961	116407511	3233	15436	288153	30329	424139		
478971	100101696	9374	54397	54398	100126133		34564	
478981	100496998	92211	170677	93662	449008	414847		
478991	100496013	6775	20849	367264	368519	768406		
479001	100491039	3096	110521	117140	100000517	420856		
479010	100038062	5862	59021	65158	140617	396153		
479020	100144685	54535	240084	406196				
479026	100038192	4824	18095	305999	555375	101747314		
479035	493557	5908	215449	171337	321107	417840		
479045	100491582	57154	75788	690516	321695	416487		
479054	493250	2296	17300	364706	100148408	395856		
479054	493250	2296	17300	364706	79375	395856		
479063	445258	5696	16913	24968	30666			
479073	100038034	1456	70425	64823				
479082	100037868	55937	55938	55939	569714			
479092	493231	51552	68365	94197	373104	417119	34840	
479102	100496799	30009	57765	303496	797797	100858002		
479111	100493709	56884	213262	365823	566192	428726		
479117	100486745	10215	50913	304103	325288	428612		
479124	100490445	8671	54403	84484	561618	422649		
479124	100490445	8671	54403	84484	568631	422649		
479133	100127176	654	12161	25644	503761	420868		
479143	496679	4005	16909	362176	30332	374129		
479153	448208	351	11820	54226	170846	374198	39399	
479153	448208	351	11820	54226	58083	374198	39399	
479163	101730846	80737	27762	309611	100034575			
479168	100329165	282617	338374	685840		770778		
479180	448558	4681	17965	50594	404629	373952		
479190	733960	649	12153	83470	559877	414883		
479190	733960	649	12153	83470	572452	414883		
479200	100497429	1591	13081	25279	100004700	395827		
479209	100101697	28514	13388	84010	30131	395820		
479218	100487113	54851	56503	315434	550246	418997		
479227	394858	5527	26931	691318	100005981	423460		
479227	394858	5527	26931	691318	557208	423460		
479236	779500	8859	54402	361800	57929	768671		
479246	549682	200350	14237				37631	
479254	100196923	2261	14184	84489	58129	396515		
479264	100493314	4320	17385	25481		769489		
479273	100493165	253935			566212	772036		
479278	779594	2138	14048	502935	30436	395718		
479288	100170148	51684	24069	361769	100001615	374118		
479298	100485893	9210	12155	59302	334183	428697		
479305	496881	931	12482	309217				
479311	100038063	6559	20497		565439	415692		
479317	100037842	4851	18128	25496	30718	395655		
479317	100037842	4851	18128	25496	794892	395655		
479326	548539	8543	16911	362051	114412	373901		
479336	448082	27314	75985	308821	437023	419020	33988	
479346	549799	10657	20218	117268	30082	374071		
479346	549799	10657	20218	117268	406516	374071		
479353	613046	8431	23957	117274	403010	768353		
479353	613046	8431	23957	117274	797815	768353		
479360	100491419	629	14962	294257	30604			
479370	100494976	653	12160	315824	394026	396053		
479380	549757	3265	15461	293621	550286	396229		
479380	549757	3265	15461	293621	553656	396229		
479388	100491925	7369	22242	25128		404754		
479394	100125183	7276	22139	24856	449556	396277	246932	
479403	779656	55502	55927	316626	373116	424829		
479410	100170149	55206	243272	304470	100005813	427694		
479418	394484	1192	114584	406864	324481			
479428	100489816	367	11835	24208	100005148	422165	44503	
479438	100488182	4211	17268	686117	170446	395589		
479438	100488182	4211	17268	686117	170455	395589		
479448	100487063	6534	240332	117100	562050	416277		
479457	100495648	5090	18516	311876		417093		
479466	549881	5594	26413	116590	360144	373953		
479476	779646	80319	319478	83824	100006754	107051796		
479485	594881	51203	108907	311336	567446	423213		
479495	100144704	6195	20111	81771	777728	386579		
479504	100101698	117579	212108	266997	503864	427223		
479504	100101698	117579	212108	266997	796288	427223		
479511	394579	10134	27061	293852	368488	100857815		
479521	101731237	2256	14166	170632	100149844			
479521	101731237	2256	14166	170632	497640			
479531	100144705	1031	12580	54238	555797	429104		
479537	100497606	57379	11628	399679	493784	418257		
479547	493238	523	11964	685232	337583	395821		
479547	493238	523	11964	685232	394110	395821		
479557	100492834	9839	24136	311071		424306		
479566	100125198	7473	22415	24882	60632	374142		
479576	100498017	2920	20310	114105				
479582	594953	3065	433759	297893	192302	373961	38565	
479592	549598	9655	56468	500616	559639	428570		
479592	549598	9655	56468	500616	768142	428570		
479598	100493479	1495	12385	307505	30741	416184		
479607	549833	5511	100336	313030	566830	419564		
479607	549833	5511	100336	313030	799896	419564		
479614	100271885	6689	272382	499146				
479623	548427	4783	18030	114519	445509	395326		
479633	394505	160728	216225	500820	556156	417932		
479642	100127177	4607	17868	295929	556489	396013		
479651	100489431	11270	106582	361791	570027		40515	
479660	101732530	81030	58203	171091				
479666	100036711	5456	18994	29589		100857422		
479675	780273	8654	242202	171115	100334568	422677		
479675	780273	8654	242202	171115	553270	422677		
479685	101734656	60672	28010	298643	560634	419483		
479690	100489016	5695	19177	85492	64278	378915		
479700	100038193	5504	66849	192361	402967	424894		
479706	100488110	7855	14367	317674	30364	395571		
479715	549776	9150	67655	291414	442930	420813		
479725	100491662	362	11830	25241		431305		
479734	105947927	3589	16156	171040	108180095	107051287		
479734	105947927	3589	16156	171040	570404	107051287		
479740	100487000	64577	237320	685750	447801	421695		
479750	100038167	7543	22764	367832	560346	418596		
479759	100038035	10818	327826	314850	436931	417845		
479759	100038035	10818	327826	314850	559479	417845		
479768	100038065	8320	13813	316052	64603	428443		
479768	100038065	8320	13813	316052	799447	428443		
479778	619595	1051	12608	24253	140814	396185		
479788	100144634	1636	11421	24310	565980	419953	41625	
479794	100038066	3827	16644	288001	449808	424957		
479801	395054	7291	22160	85489	30175	395491		
479801	395054	7291	22160	85489	550518	395491		
479808	779622					121109701		
479817	100495241	2306	17301	313504	30525	395795		
479826	100196924	6886	21349	313507	30766	396298		
479836	100101699	51621	50794	499171	767805	427493		
479842	100485788	4035	16971	299858	565797	396170	35799	
479858	100495136	9970	12355	65035		395439		
479867	100497737	8626	22061	246334	260407	374269		
479875	100493222	5079	18507	500453	60636	387330		
479892	100196925	8471	16370	315350		422347		
479901	100144635	54816			556610	415593		
479917	100335053	3586	16153	25325	553957	428264		
479924	100490198	6557	20495	25065	564713	415433		
479931	100486749	79190	64379	307715		107054265		
479940	100495742	7092	21892	678743	474335	395441		
479950	619593	5911	76108	114560		769797		
479959	100151728	836	12367	25402	140621	395476		
479959	100151728	836	12367	25402	566604	395476		
479969	394880	6615	20613	116490	30273	396047		
479969	394880	6615	20613	116490	792194	396047		
479979	100497053	3209	15398	500129	30438	373934		
479979	100497053	3209	15398	500129	570239	373934		
479989	100494339	659	12168	140590		374147		
479998	100101804	2257	14167	170630	751749	395704		
479998	100101804	2257	14167	170630	777735	395704		
480008	100144686	977	12476	64315	450020	423105		
480017	100101681	7025	13865	81808	30418	100859519		
480017	100101681	7025	13865	81808	393564	100859519		
480027	407939	3005	14958		321618	693250		
480034	100101781	8140	20539	50719	797250	415832		
480043	448462	7920	193742	361796	564613	107051252		
480053	100491212	8807	16174	373540		101750396		
480059	100492570	3309	14828	25617	378848	396487		
480066	100493253	23043	665113	294917	325042	424987		
480066	100493253	23043	665113	294917	556959	424987		
480075	100144706	2290	15228	24370	30274	396110		
480075	100144706	2290	15228	24370	405850	396110		
480084	100486800	3167	15372	293538	555632	768405		
480093	549446	1915	13627	171361	30516	373963		
480102	549268	9927	170731	64476	567448	419484		
480111	100038168	8856	18171	84385	565875			
480121	549497	9421	15110	59112		395812		
480130	100134991	7124	21926	24835	405785			
480130	100134991	7124	21926	24835	554167			
480137	100127178	183	11606	24179	322485	421543	40816	
480145	100492056	168507	171395	289796	101887130			
480151	100101763	3175	15379	25231	393545	100857312		
480158	448587	2868	14772	59077	560761	422879		
480166	548691	6257	20182	361801	30486			
480166	548691	6257	20182	361801	30530			
480176	100495433	120237	13172	292934	30394	422976		
480176	100495433	120237	13172	292934	30416	422976		
480185	100493927	3569	16193	24498	100885851	395337		
480191	100487292	22976	55982	311944	449658	420441		
480200	100036706	4735	18000	117515	323457	424843		
480210	100496572	4486	19882	300999	100134855	427573		
480219	100485388	27253	219228	306055	561336	418825		
480228	100497346	5465	19013	25747	557714	374120		
480228	100497346	5465	19013	25747	563298	374120		
480238	100486334	3479	16000	24482	114433	418090		
480248	100038067	57147	240880	360866	323839	424396		
480258	394554	7125	21925	296369	58082	396434		
480267	100492820	2986	245650	116556	140424	419089		
480277	100036650	51762	235442	266688	100093706	415371		
480286	116409688	3593	16160	64546	335994	404671		
480286	116409688	3593	16160	64546	445373	404671		
480293	493460	9058	20500	65202	406537	427830		
480303	100101700	6663	20665	29361	140616	395573		
480313	108644463	5147	18582	363272	436981	424932		
480319	780278	3315	15507	24471	368243	396227		
480329	448227	213	11657	24186		396197	247744	
480337	779742	23309	20467	683381	560837	420140		
480346	394698	70	11464	29275	407658	423298		
480354	100489595	4439	17687	294252	570030			
480360	394887	9908	23881	305240	556409	422576		
480368	448105	7884	20492	681062	407727	422902	43448	
480378	448162	11211	93897	363913	30366	373885		
480388	496992	26998	59083	83928	569489	395404		
480395	448452	81029	22419	282582	30105	418154		
480412	100492380	81796	240726	312907	101883455	420174		
480412	100492380	81796	240726	312907	570033	420174		
480421	100216101	917	12502	300678				
480430	448197	7547	22773	367944	368263	422251		
480440	100493182	27123	56811	295445	792404	422531		
480449	100101782	388585	15208	79225				
480458	548432	843			557302	424081		
480466	733995	9414	21873	115769		395751		
480475	395063	3170	15376	25099	30126	395539		
480485	407888	79191	16373	307721	30520	107054273		
480485	407888	79191	16373	307721	321806	107054273		
480495	100217325	2249	14175	116499	570435	428857		
480505	613079	7018	16440	24825		396241	252813	
480514	447990	7134	21924	290561	353247	396032		
480514	447990	7134	21924	290561	415175	396032		
480524	100127179	8449	69192	294232	336645			
480534	100487524	5972		24715	405786	431167	44122	
480550	100216229	2774	14680	24611	492467	474379		
480559	100489680	7042	21808	81809	369194	421352		
480569	100038068	50805	50916	306655		373974		
480578	449470	10252	24063	294981	798229	395583		
480591	100495102	2301	30923	171302	570855	772006		
480600	780767	84525	74318	171160	386589	395241		
480607	394758	3939	16828	24533	30496	396221		
480617	493475	153572	16372	306657	394032	373975		
480627	493524	7189	22034	311245	554561	423163	31746	
480637	549011	8646	12667	117275	30161	395828		
480646	100489813	1589			793249	429828		
480654	100492831	4303	54601	302415	563719	428703		
480661	100490571	89872	435743		100034395	101749384		
480661	100490571	89872	435743		436621	101749384		
480669	395049	23481	64934	289740	30228	770808		
480678	100496647	7100	53791	289337	403138	554217		
480678	100496647	7100	53791	289337	403139	554217		
480687	100101701	8829	18186	246331	353246	395560		
480687	100101701	8829	18186	246331	402973	395560		
480697	100486016	4846	18127	24600		100858754		
480697	100486016	4846	18127	24600		107057170		
480716	100101702	6495	20471	114634	404627	693262		
480716	100101702	6495	20471	114634	494168	693262		
480726	733893	6659	20677	364712	336346	395143		
480726	733893	6659	20677	364712	393875	395143		
480736	493379	3198	15394	103690132	58051	374051		
480745	549431	4904	22608	500538	795398	386575		
480755	100497999	23682	72433	252916	100007788	428095		
480755	100497999	23682	72433	252916	110437925	428095		
480764	100498065	81848	24066	291610	114437	427643		
480774	100492793	85416	65100	361095	403041	107051270		
480784	100036638	5922	114713	25597	100331895	424782		
480793	100487725	55002	234076	306607	564309	395675		
480799	100038274	8325	14370	364754	58072	374059		
480799	100038274	8325	14370	364754	58073	374059		
480808	733727	199699	23863	685719	791454			
480817	448119	2063	13864	245980	325637	100859014		
480817	448119	2063	13864	245980	406522	100859014		
480826	100127180	11254	56774	298340	100150665	100857521		
480835	100038052	5914	19401	24705	30680	395213		
480835	100038052	5914	19401	24705	555364	395213		
480845	100489374	607	77578	310704	449616	418456		
480854	779466	324	11789	24205	386762	415607	44642	
480864	100497725	30812	20681	302993	102216265	395483		
480864	100497725	30812	20681	302993	386704	395483		
480874	100495645	25942	20466	363067		415307	36382	
480883	100038036	80071	245902	367056	100333818	419705		
480892	100101682	4929	18227	54278	100008101	424320		
480892	100101682	4929	18227	54278	436679	424320		
480901	100489166	54567	54485	311332	563920	423208		
480910	549552	85407	93960	364952	751108	415729		
480917	100489227	57546	382051	246311	58149	427550		
480926	733449	168667	73230	300455	338246	420744		
480936	100488458	1003	12562	307618	445471	374068		
480946	100496161	6197	110651	501560	100009657	418605		
480946	100496161	6197	110651	501560	338219	418605		
480956	496491	3482	16004	25151	557061	395817		
480963	780356	85403	74427	306261	415205	776372		
480973	100497091	7484	22412	303586	565677	771092		
480982	493525	2253	14179	29349	30538	396313		
480982	493525	2253	14179	29349	65089	396313		
480992	100101703	6474	20429	25546	394171	777244		
480998	448482	3224	15426	24460	449648	395711		
481008	100488600	5915	218772	24706		396266		
481017	101731954	5698	16912	24967	30665			
481017	101731954	5698	16912	24967	64281			
481027	100038069	2018	13797	499380	30537	423923		
481037	407921	2705	14618	29584	114405	378797		
481046	100498278	6774	20848	25125	30767	420027		
481056	549142	1797	112403	361799	494170			
481065	100036623	26056	52055	312502	492537	422952		
481065	100036623	26056	52055	312502	562719	422952		
481065	100036623	26056	52055	312502	570939	422952		
481074	100489391	6097	19885	368158	559245	777355		
481074	100489391	6097	19885	368158	562258	777355		
481083	100101741	409	216869	25388	321378			
481083	100101741	409	216869	25388	394099			
481093	100487856	553	26361	100909648	555939	428263		
481093	100487856	553	26361	29462	555939	428263		
481099	100038070	80142	96979	311865		417214		
481105	549637	8841	15183	84578	393965	395506	44446	
481115	100127181	1840	14357	687424	570481	770657		
481124	394953	6427	20382	494445	323700	396195		
481124	394953	6427	20382	494445	406691	396195		
481134	733463	388585	15208	79225	359836	419392		
481144	100485771	7097	24088	310553	403125	374141		
481151	100233215	27006	67112	170579	100005852	100858338		
481158	100490154	3416	15925	25700	561390	423814	40248	
481164	496551	5052	18477	117254	791455	424598		
481174	100495176	9158	58249	282837	393381	107051225	40163	
481174	100495176	9158	58249	282837	405787	107051225	40163	
481184	100126207	22887	230700	313554	797147	418259		
481190	548442	1455	103236	65278	554152	100857862		
481190	548442	1455	103236	65278	561724	100857862		
481200	395064	7020	21418	306862	140618	395982		
481209	100038169	221527	193736	309613				
481218	100038071	894	12444	64033		374047		
481227	549217	10454	66513	315139	403084	418014		
481237	100491944	862	12395	362489	767809	395503		
481246	780384	5575	19085	25521	767685	416446		
481256	779724	54704	381511	54705	558728	428372	45588	
481265	779861	7918	81845	415064	100126023			
481271	100485823	4233	17295	24553	100150664	396134	32114	
481281	100216077	9351	65962	116501	327272	416550		
481291	779895	2794	14670	309593	568505	107051430		
481296	394480	3398	15902	25587	266599	395852		
481296	394480	3398	15902	25587	321364	395852		
481306	100038072	4091	17130	367100	116992	374096		
481306	100038072	4091	17130	367100	564395	374096		
481316	447991	598	12048	24888	114401	373954		
481325	100151699	1875	13559	116651	402908	420206		
481335	549474	3670	16392	64444	30147	396383		
481342	394485	79753	76793	313588	793873	419616		
481352	448021	2487	20378	295691	30119	395545		
481362	100151700	4779	18023	360610	405781	417987		
481362	100151700	4779	18023	360610	558772	417987		
481372	101733150	2322	14255	140635	566708	100858422		
481381	407875	2303	14234	171356		396039		
481390	100038194	64750	66313	303614	563633	427809		
481400	548466	359	11827	25386		431304		
481409	493408	130497	23967	298878	450059	100316920		
481418	549573	2657	14559	306351		396132		
481425	100101704	9464	15111	64637	58150	395813		
481435	100493377	2690	14600	25235	798613	408184		
481444	100495336	3108	14998	294274	30783			
481451	100488895	51232	50766	298744	404210	395067		
481458	548430	7850	16178	117022		418715		
481464	100144698	83999	84035	114107	100141352	416920		
481473	100038073	282679	66333	286758	553476	426725		
481479	496553	1454	27373	58822	100006858	378891		
481488	100489532	5287	240752	289021	567938	419822		
481494	100038152	5467	19015	25682		395479		
481503	100101784	10736	20472	366542	494168	724086		
481513	100493943	366	64008	65054	570191	415402		
481513	100493943	366	64008	65054	606660	415402		
481522	448632	7716	22344	287615	556915	417664		
481522	448632	7716	22344	287615	567023	417664		
481529	100101764	6885	26409	313121	553788	421808		
481538	548514	2147	14061	29251	325881	395306		
481548	407899	9787	218977	289997	447853	423555		
481568	100492433	4009	110648	289201	558036	777133	39406	
481577	100486349	408	109689	25387	553266			
481587	100493291	7138	21955	171409	353248	396009		
481597	100038037	6046	14312	294276	30445	417049		
481597	100038037	6046	14312	294276	569354	417049		
481607	100144636	2168	14080	24360	554095	374015		
481607	100144636	2168	14080	24360	791610	374015		
481614	493340	3925	16765	29332	550548	396057		
481614	493340	3925	16765	29332	678630	396057		
481624	100038195	2035	269587	313052	326287	396493		
481624	100038195	2035	269587	313052	559643	396493		
481633	100101785	5764	19242	24924	368211	418125		
481643	549037	22943	13380	293897	30197	374156		
481643	549037	22943	13380	293897	799377	374156		
481653	100038074	8600	21943	117516	100331628	428067		
481662	100485225	375318		367316		424861		
481669	100038075	22936	192657	309918	322997	427119		
481679	100489020	6891	21355	24812	30695	427728		
481679	100489020	6891	21355	24812	368771	427728		
481688	548920	10284	20220	290284	393693	374206		
481698	100498150	51804	20474	299138		395601	40297	
481707	779694	5730	19215	25526	336492	374110		
481707	779694	5730	19215	25526	555483	374110		
481717	549828	122809	67296	305828	100003691	423557		
481724	619586	2	232345	24153		418251		
481733	100489622	440097	223843	541457	30417	417801		
481740	100493924	1869	13555	399489	101885420	396142	42550	
481749	100492339	51129	57875	362850	492647	769087		
481755	100487038	3553	16176	24494	405770	395196		
481765	100101787	7091	21888	25565		374080		
481774	100144707	3568	16192	114103		771801		
481783	100189547	8200	14563	252835	100334210	374249		
481793	100495723	23414	22762	314930		420269		
481799	448062	1994	15568	363854	30065	395637		
481799	448062	1994	15568	363854	30736	395637		
481809	100498653	2736	14633	304729	30154	395956		
481809	100498653	2736	14633	304729	548610	395956		
481819	100489328	4040	16974	312781	100003877	419097		
481828	548717	650	12156	29373	30631	378779		
481828	548717	650	12156	29373	30632	378779		
481848	100489649	7148	81877	415089	100333633	427816		
481854	116408012	3575	16197	294797	100134973	426054		
481860	100145232	8321	14362	58868	557384	374062		
481870	100144637	83660	70549	315776	100333114	415374		
481870	100144637	83660	70549	315776	556842	415374		
481879	100233218	26281	80857	66017	559630	428779		
481879	100233218	26281	80857	66017	564770	428779		
481888	549758	9580	20668	289026	555983	419820		
481897	100485586	81693	93835	314459	793454	423472	32999	
481906	100038196	116039	107587	315039	550389	771523		
481915	394924	5663	19164	29192	30221	373977		
481925	100135726	343	11833	29172	447923	416566		
481935	100145124	7477	22422	315196	100148840	427937		
481935	100145124	7477	22422	315196	563427	427937		
481944	503517	5584	18759	84006	117507	424991		
481954	448442	10912	23882	291005	402991	429929		
481963	100485428	3203	15403	685732		420630		
481972	116411596	3205	15405	297099	58047	396096		
481972	116411596	3205	15405	297099	58048	396096		
481981	100038076	7545	22771	64618	30096	374103		
481991	493272	4088	17127	25631	326283	395132		
481991	493272	4088	17127	25631	58092	395132		
482001	496866	5928	19646	313048	321726	395658		
482010	493430	5868	271457	64633	337737	420649		
482010	493430	5868	271457	64633	393945	420649		
482020	100189546	860	12393	367218	405784	373919		
482020	100189546	860	12393	367218	405788	373919		
482029	105947788	83552	259172	315597	101885305	100859299		
482035	100497353	6722	20807	501099	30431	396103	252723	
482035	100497353	6722	20807	501099	393604	396103	252723	
482045	550028	79718	81004	365755	393581	426284		
482045	550028	79718	81004	365755	553608	426284		
482054	100488460	10395	50768	58834	558476	422740		
482063	548440	27071	26377	362046	550386	425211		
482076	733750				353294	417741		
482084	100486382	83959	269356	311423	559346	422943		
482090	100135705	4633	17906	363925	100537244	416874		
482090	100135705	4633	17906	363925	677750	416874		
482100	449471	10253	24064	306141	335098	395584		
482110	100038156	5311	18764	498328	432387	422585	34651	
482117	101732450	3566	16190	25084	503594	416585		
482122	100170184	9068	72713	679942	334311	770850		
482122	100170184	9068	72713	679942	544656	770850		
482132	595089	5743	19225	29527	246227	396451		
482132	595089	5743	19225	29527	559020	396451		
482142	549130	9324	94353	113990	492345	421853		
482150	100135013	6416	26398	287398	403052	417312		
482150	100135013	6416	26398	287398	568951	417312		
482159	100038197	80740	68468	294241				
482165	780397	6772	20846	25124	30768	424044		
482165	780397	6772	20846	25124	368481	424044		
482175	100498116	1441	12986	298518	100134935	419620		
482184	448742	203068	668153			396254		
482192	394461	2099	13982	24890	259252	396099		
482202	100101765	8792	21934	498206	100333821	769909		
482208	394521	6132	26961	26962	393686	418568	44251	
482218	100038077	4821	18088	366214	30697	428549		
482218	100038077	4821	18088	366214	493627	428549		
482227	100493911	3725	16476	24516	335916	424673		
482237	100485934	5083	18511	362741	30558	395740		
482247	100038078	283248	104383	305811	402934			
482256	548905	1647	13197	25112	393548	693255		
482256	548905	1647	13197	25112	431763	693255		
482266	100151729	3200	15400	103690130	58049	395231		
482276	100485633	1001	12560	116777		414845		
482286	100487051	554	12000	25108		427860		
482292	734023	2033	328572	170915		418000		
482301	100498626	6556	18173	316519		395811		
482310	100216190	10499	17978	83724	81884	420176		
482319	100498102	3239	15433	288154	30407	396415		
482329	550010	3225	15427	368178	58043	425723		
482339	100492995	3561	16186	140924		395199		
482345	100486176	2250	14176	60662	494454	770457		
482352	101731546	10673	24099	498666	561268	374229		
482358	100491230	28511	71966	287707	445039	420032		
482374	100494596	10875	14190	84586	100001116	768821		
482374	100494596	10875	14190	84586	565637	768821		
482389	100486813	835	12366	64314	373118	395857		
482399	100489929	7078	21859	25358		396483		
482408	394938	6198	72508	83840	406349	417637		
482408	394938	6198	72508	83840	562242	417637		
482418	100492541	3172	15378	25735	322358	419198		
482428	394846	8027	20844	498798	386967	420517	34505	
482438	100494302	1876	50496	313978		421943		
482447	779849	6997	21667	680246	30304			
482454	100038170	54756	171463	498576	171474	395186		
482461	100494997	7058	21826	292406	100535241	414837		
482461	100494997	7058	21826	292406	566325	414837		
482471	496611	53834	116701	360903	393347	395107		
482471	496611	53834	116701	360903	497135	395107		
482481	100101708	3975	16869	257634	30454	396381		
482481	100101708	3975	16869	257634	30463	396381		
482491	549981	5308	18741	54284	30164	395862		
482501	100490938	4353	17523	303413		417467		
482510	448018	6605	57376	303518	322248	420047		
482527	493378	2308	56458	84482	567969	374231		
482527	493378	2308	56458	84482	768121	374231		
482535	100038183	7182	22026	50659	569321	395253		
482544	100038198	66008	70827	171086	560810	424082		
482550	100488869	552	54140	25107	555939	771773		
482550	100488869	552	54140	25107	571591	771773		
482556	100489803	59269	16656	313557	568037	428208		
482565	100038039	7026	11819	113984	30424	386585		
482575	548725	3213	15410	303488	30339	395502		
482585	100134992	3481	16002	24483	30710	395097		
482585	100134992	3481	16002	24483	324215	395097		
482595	493489	6510	20514	292657	100002129			
482604	394748	7140	21957	24838		395761		
482613	100493699	7139	21956	24837	100331199	396433		
482613	100493699	7139	21956	24837	58071	396433		
482623	780142	384	11847	29215	322614	423272		
